
---------- Begin Simulation Statistics ----------
simSeconds                                   0.026335                       # Number of seconds simulated (Second)
system.cpu0.statFuBusy::SimdUnitStrideStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideMaskStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStridedLoad             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStridedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdIndexedLoad             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdIndexedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdWholeRegisterLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdWholeRegisterStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStrideSegmentedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdExt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatExt                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdConfig                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Add                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Cmp                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Cvt                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16DotProd             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16MatMultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Mult                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16MultAcc             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::Bf16Cvt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::System                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.issuedInstType_0::No_OpClass         3566      0.01%      0.01% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntAlu         29339429     47.90%     47.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntMult           13066      0.02%     47.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntDiv               39      0.00%     47.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatAdd        3157272      5.15%     53.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatCmp              0      0.00%     53.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatCvt              0      0.00%     53.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMult             0      0.00%     53.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMultAcc            0      0.00%     53.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatDiv              0      0.00%     53.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMisc             0      0.00%     53.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatSqrt             0      0.00%     53.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAdd               0      0.00%     53.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAddAcc            0      0.00%     53.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAlu         2110945      3.45%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCmp               4      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCvt              84      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMisc             96      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMult              0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMultAcc            0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMatMultAcc            0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShift             0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShiftAcc            0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDiv               0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSqrt              0      0.00%     56.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAdd      1048847      1.71%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAlu            0      0.00%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCmp            0      0.00%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCvt            0      0.00%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatDiv            0      0.00%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMisc            0      0.00%     58.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMult      1048800      1.71%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMultAcc            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMatMultAcc            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatSqrt            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAdd            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAlu            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceCmp            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceAdd            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceCmp            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAes               0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAesMix            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash2            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash2            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma2            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma3            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha3              0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSm4e              0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCrc               0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdPredAlu            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDotProd            0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::Matrix                0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MatrixMov             0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MatrixOP              0      0.00%     59.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MemRead        17044319     27.83%     87.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MemWrite        2215397      3.62%     91.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMemRead      3155402      5.15%     96.55% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMemWrite      2112345      3.45%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideMaskStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStridedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStridedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
