
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000320                       # Number of seconds simulated (Second)
system.cpu0.statFuBusy::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStrideSegmentedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdExt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatExt                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdConfig                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Add                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Cmp                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Cvt                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16DotProd             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16MatMultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Mult                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16MultAcc             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::Bf16Cvt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::System                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.issuedInstType_0::No_OpClass          947      0.10%      0.10% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntAlu           520679     54.88%     54.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntMult              27      0.00%     54.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntDiv              165      0.02%     55.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatAdd          50076      5.28%     60.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatCmp              0      0.00%     60.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatCvt              0      0.00%     60.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMult             0      0.00%     60.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMultAcc            0      0.00%     60.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatDiv              0      0.00%     60.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMisc             0      0.00%     60.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatSqrt             0      0.00%     60.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAdd               0      0.00%     60.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAddAcc            0      0.00%     60.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAlu           50576      5.33%     65.61% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCmp               4      0.00%     65.61% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCvt             247      0.03%     65.64% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMisc            376      0.04%     65.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMult              0      0.00%     65.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMultAcc            0      0.00%     65.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMatMultAcc            0      0.00%     65.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShift             0      0.00%     65.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShiftAcc            0      0.00%     65.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDiv               0      0.00%     65.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSqrt              0      0.00%     65.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAdd        25004      2.64%     68.31% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAlu            0      0.00%     68.31% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCmp            0      0.00%     68.31% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCvt        25003      2.64%     70.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatDiv            0      0.00%     70.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMisc            0      0.00%     70.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMult        25001      2.64%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMultAcc            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMatMultAcc            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatSqrt            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAdd            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAlu            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceCmp            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceAdd            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceCmp            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAes               0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAesMix            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash2            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash2            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma2            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma3            0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha3              0      0.00%     73.58% # Number of instructions issued per FU type, per thread (Count)
