
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000565                       # Number of seconds simulated (Second)
system.cpu0.issuedInstType_0::FloatDiv              0      0.00%     60.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMisc             0      0.00%     60.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatSqrt             0      0.00%     60.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAdd               0      0.00%     60.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAddAcc            0      0.00%     60.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAlu           50582      5.31%     65.71% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCmp               4      0.00%     65.71% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCvt             246      0.03%     65.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMisc            395      0.04%     65.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMult              0      0.00%     65.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMultAcc            0      0.00%     65.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMatMultAcc            0      0.00%     65.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShift             0      0.00%     65.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShiftAcc            0      0.00%     65.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDiv               0      0.00%     65.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSqrt              0      0.00%     65.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAdd        25004      2.63%     68.41% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAlu            0      0.00%     68.41% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCmp            0      0.00%     68.41% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCvt        25003      2.63%     71.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatDiv            0      0.00%     71.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMisc            0      0.00%     71.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMult        25001      2.63%     73.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMultAcc            0      0.00%     73.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMatMultAcc            0      0.00%     73.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatSqrt            0      0.00%     73.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAdd            0      0.00%     73.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAlu            0      0.00%     73.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceCmp            0      0.00%     73.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceAdd            0      0.00%     73.66% # Number of instructions issued per FU type, per thread (Count)
